"Afsætning"
"Almen sprogforståelse"
"Almen studieforberedelse"
"Arabisk"
"Astronomi"
"Billedkunst"
"Biologi"
"Bioteknologi (forsøg)"
"Dans"
"Dansk"
"Dansk som andetsprog (forsøg)"
"Datalogi"
"Design"
"Dramatik"
"Engelsk"
"Erhvervsret"
"Erhvervsøkonomi"
"Filosofi"
"Finansiering"
"Fransk"
"Fysik"
"Geografi"
"Græsk"
"Historie"
"Idehistorie"
"Idræt"
"Informationsteknologi"
"Innovation"
"International teknologi og kultur"
"International økonomi"
"It"
"Italiensk"
"Japansk"
"Kemi"
"Kinesisk"
"Kommunikation/it"
"Kultur- og samfundsfaggruppen"
"Kulturforståelse"
"Latin"
"Markedskommunikation"
"Matematik"
"Materialeteknologi"
"Mediefag (film og tv)"
"Multimedier"
"Musik"
"Naturgeografi"
"Naturvidenskabelig faggruppe"
"Naturvidenskabeligt grundforløb"
"Oldtidskundskab"
"Organisation"
"Programmering"
"Psykologi"
"Religion"
"Retorik"
"Russisk"
"Samfundsfag"
"Samtidshistorie"
"Spansk"
"Statik og styrkelære"
"Statistik"
"Studieområdet"
"Studieretningsprojektet"
"Teknikfag"
"Teknologi"
"Teknologihistorie"
"Tyrkisk"
"Tysk"
"Virksomhedsøkonomi"
