"Billedkunst"
"Biologi"
"Dansk"
"Drama"
"Engelsk"
"Fransk"
"Fysik/kemi"
"Geografi"
"Håndarbejde"
"Historie"
"Hjemkundskab"
"Idræt"
"Kristendom"
"Matematik"
"Musik"
"Natur/teknik"
"Samfundsfag"
"Sløjd"
"Tysk"
